simulation_id,gdp_shock,inflation_shock,interest_rate_shock,traffic_demand_shock,cost_overrun_shock,construction_delay_months,simulated_revenue,simulated_debt_service,simulated_dscr,default_flag
1,0.03490142459033698,0.023037631737819458,0.015224293715002276,-0.2376686361072488,0.062251396135887906,23,79.14733805486333,86.16747844168263,0.9185291189463032,1
2,0.015852070964864462,0.03236251342365868,0.014249853888034996,-0.12659827763242462,0.181016197681248,10,88.11631649765252,83.89160348943071,1.050359187719592,0
3,0.03943065614302077,0.025065473473871426,-0.004047797687082367,-0.07044340875511032,0.08414505221581456,19,96.27208790194425,83.71467884832465,1.1500024753887101,0
4,0.06569089569224076,0.04276045117365299,0.018693763326456073,0.017960269310962975,0.10724554117741117,10,107.29610522097907,82.56505692597597,1.2995340791344192,0
5,0.012975398758299922,0.06992946328654782,-0.01235124013364927,0.12289947919282539,0.1573912485310174,19,111.83925121294882,84.7399600819242,1.3197935319396634,0
6,0.012975891291524586,0.020723946071469886,0.00018723511359507172,0.08329631320461173,0.09528292745208476,11,109.10912179782687,81.28290850119153,1.3423378150429675,0
7,0.06737638446522175,0.06502051244421035,-0.019986317193467114,-0.14151897581369827,-0.045427828666388725,17,90.96022805404709,78.85390006549623,1.1535285886746922,0
8,0.04302304187458726,0.020458198191327808,0.03337939775444222,-0.04460547145987829,0.18324700036428382,1,99.3303020866877,82.00151233977955,1.2113228067685504,0
9,0.005915768421951437,0.018809319687577895,0.006526757590820568,0.009165070644307988,0.2003943063932041,3,101.03785091443652,81.12337871315863,1.24548376210627,0
10,0.03627680130757894,0.06046486545858033,0.04250326052224467,-0.03146485493357993,-0.04648928732803548,3,98.9695730009354,78.26673557428754,1.2645164292945064,0
11,0.006097469215626133,0.06304840945019041,0.022044248897792426,-0.03231542710419532,0.016536703547076967,20,95.80199397488832,84.52539449714367,1.1334107879038142,0
12,0.006028107392892295,0.06128524841906636,0.016721473200265367,-0.2067291989585126,0.2619103693988408,13,78.39775963296131,87.02209380149382,0.9008948901160033,1
13,0.027258868146981023,0.0071050647945464715,0.001206584585785011,-0.13832809813675687,0.11856277428031296,12,88.71545038115876,82.25815626524091,1.0785003507141144,0
14,-0.03739840733973393,0.02835122554819873,-0.005695250535311299,-0.048352781896712785,0.10028410186162921,8,90.71610043765035,79.82924850173832,1.136376730837883,0
15,-0.031747534975390984,0.060574714800083036,0.01784457360845418,-0.37118708099341946,0.06588932743603437,14,58.19217053311688,83.07085288794485,0.7005124963820091,1
16,0.0031313741227708206,0.041038546014097364,0.008927289860905269,0.07687731840118253,0.017543787931469254,22,106.9749056020429,84.31428196802597,1.268763762260472,0
17,-0.01038493361003271,0.013157678845063393,-0.010089054732279513,-0.16472149196532834,0.08444658861548933,21,82.16041547133732,84.01836913892755,0.9778863397774594,1
18,0.029427419977858214,0.05145794847813605,-0.012752876247624776,0.08242057599181654,0.1779538191332569,9,109.89835088501407,81.42249521192642,1.349729587615446,0
19,-0.007240722265636327,0.02212981852521324,-0.004380555937153757,0.07186992053650919,0.09874576324952007,4,105.90967436395695,78.39323797782767,1.3510052282049108,0
20,-0.02236911104005874,0.0848631212098053,0.03731450837899346,-0.06524316517348612,0.14882272687144385,3,89.11719434840037,82.272099483032,1.083200682957898,0
21,0.06396946306764661,0.07862103656045646,0.04319916877016956,0.12006579908418452,0.24125657188052504,17,116.43800030117171,90.04321052507453,1.2931347030184688,0
22,0.013226710985403931,0.055102435658889184,0.013074837209633648,0.08918368139099198,0.05356174556430457,3,108.86347834616734,78.31075206591937,1.3901472719165013,0
23,0.022025846140637715,0.07402516761924434,0.012234141943619325,-0.03707537650015687,0.12422999205267535,15,96.64441777356697,84.33773546695663,1.1459214222254293,0
24,-0.0227424455864037,0.041619783753084526,0.004955194422557184,-0.0506111538230038,0.18035148487485422,10,91.62414546523213,83.17954799137601,1.1015225217950408,0
25,0.003668518264244521,0.0591359373593754,-0.0040172802246425336,0.1316679342797228,0.025367709322672266,6,112.05524682041235,77.51947744291193,1.4455108640655345,0
26,0.023327677691295984,0.07694300738255187,0.03062768586410866,0.0278416607289197,0.1142442262452644,0,103.19335865745781,79.86757153032659,1.2920557953646326,0
27,-0.014529807322669081,0.04613746704485782,0.03810364590845704,0.12536366020417708,0.24978596197010888,2,109.92994861202936,84.22795758746172,1.305147978898561,0
28,0.031270940550370156,0.03362032071214291,-0.003401286287589282,-0.28667688892232845,0.07277996956321475,15,73.61889714500059,82.00745284360315,0.8977098372436902,1
